DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework_simplejwt/models.py first seen with mtime 1764341096.855981
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/models/manager.py first seen with mtime 1764340271.6777904
DEBUG 2025-12-04 07:00:04,345 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_subprocess.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/models/fields/json.py first seen with mtime 1764340271.6800587
DEBUG 2025-12-04 07:00:04,345 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/__init__.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/drf_yasg/app_settings.py first seen with mtime 1764341152.0206463
DEBUG 2025-12-04 07:00:04,345 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/handlers.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/core/validators.py first seen with mtime 1764340271.6377494
DEBUG 2025-12-04 07:00:04,345 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/numbers.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1764340271.0885792
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/models/fields/__init__.py first seen with mtime 1764340271.6792674
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/accounts/admin.py first seen with mtime 1764390002.0685823
